genres,spoken_languages,title,vote_average
"['Romance', 'Comedy']",['English'],Man Of The Century,0.0
"['Adventure', 'Fantasy', 'Animation']",['日本語'],Princess Mononoke,8.2
"['Comedy', 'Drama']",['English'],The Suburbans,4.0
['Documentary'],"['Deutsch', 'English', 'Español']",My Best Fiend,7.6
"['Drama', 'Comedy', 'War']","['Français', 'Deutsch']",Train of Life,7.4
['Comedy'],['English'],The Bachelor,4.5
"['Drama', 'Mystery', 'Thriller', 'Crime']",['English'],The Bone Collector,6.5
"['Drama', 'Thriller']","['العربية', 'English', '日本語', 'فارسی']",The Insider,7.3
['Documentary'],['English'],American Movie,7.7
"['Romance', 'Drama', 'Science Fiction']",['English'],Last Night,7.0
"['Drama', 'Comedy']",['Français'],Portraits Chinois,7.5
['Drama'],"['Français', 'Deutsch']",Rosetta,7.2
['Drama'],['English'],"They Shoot Horses, Don't They?",7.4
"['Drama', 'Comedy']",['English'],Battling Butler,5.7
"['Comedy', 'Horror', 'Science Fiction']",['English'],Bride of Re-Animator,6.1
"['Adventure', 'Comedy']","['English', 'Deutsch']",Bustin' Loose,5.7
"['Thriller', 'Mystery', 'Drama']",['English'],Coma,6.4
"['Horror', 'Comedy', 'Fantasy']","['English', 'Italiano']",Creepshow,6.7
['Horror'],['English'],Creepshow 2,5.9
"['Science Fiction', 'Comedy', 'Horror']","['English', 'Deutsch']",Re-Animator,7.0
"['Crime', 'Drama']",['English'],Drugstore Cowboy,7.0
"['Crime', 'Drama', 'Thriller']","['English', 'Español', '한국어/조선말']",Falling Down,7.2
['Horror'],['English'],The Funhouse,5.8
"['Action', 'Adventure', 'Comedy', 'Drama']",['English'],The General,8.0
"['Drama', 'Comedy', 'Romance']",['English'],My Best Girl,8.0
['Horror'],['English'],Piranha,5.7
['Western'],['English'],Rough Night in Jericho,7.3
['Horror'],['English'],Slaughterhouse,5.3
"['Comedy', 'Drama', 'Romance']",['English'],The Taming of the Shrew,6.9
"['Action', 'Crime', 'Thriller']","['English', 'Français']",Nighthawks,6.4
"['Drama', 'Thriller']",['日本語'],Yojimbo,8.0
"['Comedy', 'Horror']","['Český', 'English', 'Magyar']",Repossessed,4.5
"['Action', 'Science Fiction', 'Thriller']",['English'],The Omega Man,6.0
"['Comedy', 'Science Fiction']",['English'],Spaceballs,6.7
"['Animation', 'Family']",['English'],Robin Hood,7.0
"['Comedy', 'Drama', 'Family', 'War']",['English'],Mister Roberts,7.3
"['Adventure', 'Drama']",['No Language'],Quest for Fire,7.2
"['Adventure', 'Western', 'History']",['English'],Little Big Man,7.5
['Drama'],['English'],A Face in the Crowd,7.4
['Comedy'],"['English', 'Português']",Trading Places,7.1
['Comedy'],['English'],Meatballs,5.9
['Comedy'],['English'],Meatballs Part II,3.5
['Comedy'],['English'],Meatballs III: Summer Job,4.4
['Comedy'],['English'],Meatballs 4,3.3
['Thriller'],['English'],Dead Again,6.7
"['Comedy', 'Drama']","['English', 'Magyar']",Peter's Friends,6.7
"['Comedy', 'Drama', 'Romance']",['English'],The Incredibly True Adventure of Two Girls In Love,5.7
['Comedy'],['English'],Experience Preferred...But Not Essential,7.5
['Comedy'],['English'],Under the Rainbow,4.9
"['Comedy', 'War']","['English', 'Français']",How I Won the War,5.6
"['Drama', 'Thriller']",['English'],Light It Up,6.6
"['Drama', 'Comedy', 'Romance']",['English'],Anywhere But Here,5.9
"['Fantasy', 'Comedy', 'Adventure']",['English'],Dogma,6.8
"['Adventure', 'Drama', 'Action', 'History', 'War']","['English', 'Latin']",The Messenger: The Story of Joan of Arc,6.2
['Animation'],['日本語'],Pokémon: The First Movie: Mewtwo Strikes Back,6.7
['Drama'],"['English', 'Français', '']",Felicia's Journey,6.3
"['Mystery', 'Thriller', 'Crime', 'Drama']",['English'],Oxygen,5.4
"['Comedy', 'Mystery', 'Thriller']",['English'],Where's Marlowe?,5.5
"['Drama', 'Horror', 'Science Fiction']",['English'],The Ape,5.3
"['Action', 'Adventure']","['English', 'Français', 'Deutsch']",British Intelligence,5.8
"['Comedy', 'Drama', 'Music']","['English', '', 'Gaeilge']",The Commitments,7.4
"['Comedy', 'Drama', 'Music', 'Romance']",['English'],Holiday Inn,7.1
"['Action', 'Drama', 'History', 'War']","['English', 'Français', 'Deutsch']",The Longest Day,7.3
['Thriller'],['English'],Poison Ivy,5.2
"['Thriller', 'Romance']",['English'],Poison Ivy: The New Seduction,4.1
"['Drama', 'Action']",[],Ten Benny,10.0
"['History', 'Action', 'Drama', 'Adventure', 'War']","['English', '日本語']",Tora! Tora! Tora!,6.9
"['Comedy', 'Drama']",['Español'],Women on the Verge of a Nervous Breakdown,7.6
['Drama'],['English'],The Verdict,7.4
['Drama'],['English'],The Effect of Gamma Rays on Man-in-the-Moon Marigolds,6.9
"['Comedy', 'Science Fiction']",['English'],The Adventures of Buckaroo Banzai Across the 8th Dimension,6.3
['Drama'],"['Magyar', 'English', 'Español']",Stand and Deliver,7.3
"['Comedy', 'Drama', 'Romance']",['English'],Moonstruck,6.7
"['Drama', 'Romance']",['English'],The Sandpiper,5.7
"['Adventure', 'Western']",['English'],Jeremiah Johnson,7.5
"['Drama', 'Horror', 'Thriller']",['English'],Repulsion,7.5
"['Comedy', 'Romance']",['English'],Irma la Douce,7.1
"['Documentary', 'Foreign']",['English'],42 Up,6.6
['Drama'],"['English', 'Deutsch', '']",Liberty Heights,6.7
"['Drama', 'Romance']",['English'],Mansfield Park,6.7
"['Adventure', 'Comedy', 'Fantasy', 'Science Fiction']","['English', '']","Goodbye, 20th Century",7.5
"['Drama', 'Fantasy', 'Thriller', 'Mystery']",['English'],Sleepy Hollow,6.9
"['Adventure', 'Action', 'Thriller']","['English', 'Pусский']",The World Is Not Enough,6.0
"['Comedy', 'Drama']",['Español'],All About My Mother,7.4
['Documentary'],[],Home Page,0.0
['Horror'],"['English', 'Français']",The Living Dead Girl,6.0
['Comedy'],['English'],Babes in Toyland,6.6
"['Fantasy', 'Comedy', 'Drama']",['English'],Scrooged,6.7
"['Comedy', 'Drama']",['English'],Harvey,7.7
['Drama'],['Italiano'],Bicycle Thieves,8.0
['Drama'],"['English', 'Italiano']",Matewan,7.2
"['Action', 'Drama', 'History', 'War']",['日本語'],Kagemusha,7.7
"['History', 'Drama', 'Action']",['日本語'],47 Samurai,7.1
['Western'],['English'],McCabe & Mrs. Miller,7.3
"['Drama', 'Romance']",['English'],Maurice,7.1
['Drama'],['English'],The Grapes of Wrath,7.8
['Comedy'],['English'],My Man Godfrey,6.4
"['Comedy', 'Romance']",['English'],The Shop Around the Corner,7.9
['Drama'],['English'],The Natural,7.0
"['Comedy', 'Drama', 'Romance']",['English'],Shampoo,6.3
['Drama'],['English'],A River Runs Through It,7.0
"['Romance', 'Drama', 'Thriller', 'Horror', 'Mystery']",['English'],Fatal Attraction,6.6
"['Mystery', 'Thriller']",['English'],Jagged Edge,6.5
"['Drama', 'Romance']",['English'],Stanley & Iris,5.7
"['Adventure', 'Comedy', 'Crime']","['Český', 'English']",Midnight Run,7.2
['Drama'],['English'],Awakenings,7.6
"['Drama', 'Romance', 'History']","['English', 'Français']",Come See the Paradise,6.1
"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",['English'],Backdraft,6.4
"['Comedy', 'Drama']",['English'],The Fisher King,7.2
['Drama'],['English'],The River,6.5
['Drama'],['English'],Country,6.3
"['Drama', 'Family']",['English'],Places in the Heart,7.1
['Drama'],['English'],"'night, Mother",5.8
"['Action', 'Fantasy', 'Horror', 'Mystery']","['English', 'Italiano', 'Latin']",End of Days,5.5
"['Animation', 'Comedy', 'Family']",['English'],Toy Story 2,7.3
"['Comedy', 'Drama']",['English'],Flawless,5.9
['Drama'],['English'],Miss Julie,6.3
"['Drama', 'War', 'Romance', 'Western']",['English'],Ride with the Devil,6.6
"['Comedy', 'Drama']",['English'],Tumbleweeds,6.2
"['Horror', 'Thriller']",['Italiano'],A Bay of Blood,6.4
['Comedy'],['English'],The Distinguished Gentleman,5.7
"['Crime', 'Thriller']","['English', 'Español']",The Hitch-Hiker,6.6
"['Action', 'Western']",['English'],Santa Fe Trail,3.6
[],['English'],Lauderdale,1.7
['Drama'],['English'],Agnes Browne,6.3
['Drama'],"['English', 'Français']",The End of the Affair,6.6
['Romance'],['English'],The End of the Affair,6.3
"['Comedy', 'Drama']",['English'],Holy Smoke!,5.3
['Drama'],['English'],A Map of the World,6.4
"['Comedy', 'Drama']",['English'],Sweet and Lowdown,6.8
"['Comedy', 'Drama']",['English'],The Bonfire of the Vanities,5.3
[],['English'],Broadway Damage,6.0
"['Drama', 'Comedy']",[],Daddy-Long-Legs,7.4
"['Comedy', 'Western']",['English'],Go West,6.8
"['Drama', 'History', 'War']","['Pусский', 'Deutsch', 'Français', 'English']",Grand Illusion,7.5
['Drama'],['English'],The Great Santini,6.9
['Documentary'],['English'],The James Dean Story,6.2
"['War', 'Action', 'Thriller']",['English'],The Sea Wolves,5.7
"['Drama', 'Romance']",['English'],Stealing Home,5.9
"['Action', 'Adventure']",['English'],Tarzan the Fearless,2.8
"['Drama', 'Comedy']",['No Language'],Three Ages,7.2
"['Crime', 'Drama', 'Mystery']",['English'],The Two Jakes,6.2
"['Documentary', 'Music']",['English'],U2: Rattle and Hum,6.3
"['Drama', 'War']","['English', '日本語']",Hell in the Pacific,6.8
"['Comedy', 'Romance']",['English'],The Glass Bottom Boat,4.8
['Drama'],['English'],Cradle Will Rock,7.2
['Comedy'],['English'],Deuce Bigalow: Male Gigolo,5.4
"['Fantasy', 'Drama', 'Crime']","['Français', 'English']",The Green Mile,8.2
['Drama'],['English'],The Cider House Rules,6.9
"['Comedy', 'Drama', 'Mystery']","['English', 'Deutsch', 'Polski']",Diamonds,5.4
['Drama'],['English'],The War Zone,7.2
"['Crime', 'Drama', 'Mystery', 'Thriller']",['English'],The Bat Whispers,6.3
['Drama'],['English'],The Last Picture Show,7.6
"['Action', 'Adventure', 'Family', 'Fantasy']",['English'],The 7th Voyage of Sinbad,6.8
"['Action', 'Drama', 'War']",['English'],Blood on the Sun,5.1
"['Drama', 'History', 'Romance']","['English', 'ภาษาไทย']",Anna and the King,6.4
"['Comedy', 'Science Fiction']",['English'],Bicentennial Man,6.9
"['Animation', 'Fantasy', 'Family', 'Comedy']",['English'],Stuart Little,5.8
"['Drama', 'History']",['普通话'],The Emperor and the Assassin,7.4
"['Animation', 'Family', 'Music']",['English'],Fantasia 2000,7.0
['Drama'],"['English', 'Français', 'Deutsch']",Magnolia,7.5
"['Drama', 'Romance']",['English'],Onegin,5.8
"['Comedy', 'Drama']",['English'],Simpatico,5.3
"['Comedy', 'Drama', 'Music']","['English', 'Français', 'Deutsch', 'Italiano', '日本語']",Topsy-Turvy,6.7
"['Drama', 'Foreign']",[],The Alley Cats,2.5
"['Drama', 'Action', 'Adventure', 'Crime', 'Thriller']",['English'],Boiling Point,4.6
"['Adventure', 'Fantasy']",['English'],Brenda Starr,5.1
['Drama'],['English'],Carnal Knowledge,6.7
"['Adventure', 'Drama']",['English'],Easy Rider,7.0
"['Thriller', 'Drama', 'Crime']",['English'],The Falcon and the Snowman,6.5
['Western'],[],Hi-Yo Silver,0.0
"['Romance', 'Drama']",['English'],Room at the Top,6.0
['Adventure'],"['English', 'Italiano']",Ulysses,6.3
['Drama'],['English'],Any Given Sunday,6.8
"['Comedy', 'Drama', 'Romance']",['English'],Man on the Moon,6.9
"['Comedy', 'Family', 'Science Fiction']",['English'],Galaxy Quest,6.9
"['Thriller', 'Crime', 'Drama']","['English', 'Italiano']",The Talented Mr. Ripley,7.1
['Comedy'],['English'],Next Friday,6.5
['Drama'],['English'],The Hurricane,7.2
['Drama'],['English'],Angela's Ashes,7.0
"['Comedy', 'Drama']","['English', 'Français']",Play It to the Bone,5.7
"['Drama', 'History', 'Thriller']","['English', 'Latin']",Titus,6.5
['Documentary'],['English'],"Mr. Death: The Rise and Fall of Fred A. Leuchter, Jr.",6.3
['Drama'],['English'],The Third Miracle,6.1
"['Drama', 'Action', 'Comedy', 'Crime']",['English'],Montana,4.8
"['Drama', 'Romance']","['Deutsch', '日本語', 'English']",Snow Falling on Cedars,6.3
['Drama'],['English'],"Girl, Interrupted",7.6
['Drama'],[],Trans,0.0
"['Documentary', 'Family']",['English'],The Life and Times of Hank Greenberg,4.0
"['Comedy', 'Drama', 'Family']",['English'],My Dog Skip,6.5
"['Horror', 'Science Fiction', 'Thriller']",['English'],Supernova,4.9
"['Drama', 'Foreign']",[],The Quarry,2.5
['Drama'],['हिन्दी'],The Terrorist,8.1
"['Drama', 'Romance']","['English', 'Français']",The Way We Were,7.1
"['Romance', 'Drama']",[],Tess of the Storm Country,5.0
"['Comedy', 'Drama', 'War']","['English', 'Deutsch', 'Pусский']",Stalag 17,7.6
"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']","['English', 'Pусский']",The Presidio,5.7
"['Crime', 'Drama']","['English', 'Español']",Papillon,7.8
"['Comedy', 'Music', 'Romance']",['English'],Pal Joey,5.9
"['Comedy', 'Drama']",['English'],The Last Detail,7.1
['Drama'],['English'],Five Easy Pieces,7.2
"['Comedy', 'Drama']",['Deutsch'],Even Dwarfs Started Small,6.6
"['Crime', 'Thriller', 'Horror', 'Drama']","['English', 'Italiano']",Dead Calm,6.6
"['Horror', 'Drama', 'Thriller', 'Science Fiction']",['English'],The Boys from Brazil,6.6
['Horror'],"['English', 'Italiano']",Black Sunday,7.2
"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Romance', 'Thriller']",['English'],Against All Odds,5.7
"['Action', 'Adventure', 'Drama', 'Romance']","['English', 'Español']",The Snows of Kilimanjaro,6.1
['Comedy'],['English'],National Lampoon's Loaded Weapon 1,5.7
"['Drama', 'Romance']",['English'],The Loves of Carmen,8.0
['Comedy'],['English'],Fast Times at Ridgemont High,7.0
['Drama'],['English'],A Cry in the Dark,6.4
"['Comedy', 'Crime', 'Drama']",['English'],Born to Win,6.1
"['Action', 'Adventure', 'Animation', 'Family']","['Český', 'English']",Batman: Mask of the Phantasm,7.4
['Drama'],['English'],American Flyers,6.1
['Drama'],['English'],Voyage of the Damned,5.5
['Horror'],['Deutsch'],Vampyros Lesbos,5.5
['Drama'],['English'],A Star Is Born,6.3
"['Drama', 'Horror', 'Science Fiction']",['English'],Poison,6.4
"['Crime', 'Thriller']",['English'],Pacific Heights,6.0
['Thriller'],['English'],Night Tide,6.2
"['Comedy', 'Mystery', 'Romance']","['Nederlands', 'English', 'Deutsch']",The Draughtsman's Contract,6.9
"['Music', 'Drama']",['Français'],Carmen,5.9
"['Comedy', 'Drama']",['English'],A Zed & Two Noughts,6.8
"['Drama', 'Thriller']",['日本語'],Woman in the Dunes,8.1
"['Comedy', 'Drama', 'Family', 'Romance']","['English', 'Français']",Down to You,4.9
['Music'],[],Hellhounds on My Trail: The Afterlife of Robert Johnson,0.0
"['Comedy', 'Drama', 'Romance', 'Thriller']",['Español'],"Not Love, Just Frenzy",4.6
[],[],Wirey Spindell,5.5
"['Crime', 'Drama', 'Thriller']",['English'],Another Man's Poison,6.4
"['Drama', 'Thriller']","['English', 'Deutsch', 'Español']",The Odessa File,6.7
"['Drama', 'Comedy']",[],The Saphead,6.4
"['Comedy', 'Romance']",['English'],Seven Chances,7.3
['Comedy'],['English'],Smashing Time,4.8
"['Fantasy', 'Comedy']",['English'],Train Ride to Hollywood,0.0
"['Comedy', 'Drama']",['English'],Where the Buffalo Roam,6.1
"['Western', 'Action', 'Comedy']",[],Zachariah,7.0
"['Documentary', 'Foreign']",[],Kestrel's Eye,0.0
"['Drama', 'Mystery', 'Thriller']","['English', 'Français']",Eye of the Beholder,5.3
"['Drama', 'Comedy']",['English'],Isn't She Great,4.6
"['Comedy', 'Foreign']",['English'],The Big Tease,5.8
['Comedy'],"['हिन्दी', '', 'Français']",The Cup,5.9
"['Drama', 'Foreign', 'Romance']",['Español'],Santitos,6.3
"['Comedy', 'Family']","['English', 'Français']",Encino Man,5.6
"['Comedy', 'Romance']",['English'],The Goodbye Girl,7.3
['Drama'],"['English', 'Español']",I Am Cuba,8.0
"['Drama', 'History']","['العربية', 'English']",Malcolm X,7.3
"['Music', 'Comedy']",['English'],Sister Act,6.5
"['Music', 'Comedy']",['English'],Sister Act 2: Back in the Habit,5.9
['Thriller'],"['Magyar', 'Pусский']",The Hand that Rocks the Cradle,6.5
"['Action', 'Adventure', 'Drama', 'Thriller']","['English', 'Português']",Alive,6.7
"['Drama', 'Mystery']","['Latin', 'English', 'Français']",Agnes of God,6.2
['Drama'],"['English', 'Magyar']",Scent of a Woman,7.3
"['Music', 'Comedy']","['广州话 / 廣州話', 'English']",Wayne's World,6.5
"['Music', 'Comedy']","['广州话 / 廣州話', 'English']",Wayne's World 2,5.8
['Comedy'],['English'],A League of Their Own,6.8
"['Drama', 'Action', 'Thriller', 'Crime']",['English'],Patriot Games,6.4
"['Thriller', 'Action', 'Drama', 'Music', 'Romance']",['English'],The Bodyguard,6.2
"['Fantasy', 'Comedy']",['English'],Death Becomes Her,6.3
"['Adventure', 'Drama', 'Romance', 'Western']",['English'],Far and Away,6.3
"['Drama', 'Romance']","['English', 'Deutsch']",Howards End,7.0
"['Comedy', 'Drama', 'Romance']",['English'],Singles,6.6
"['Drama', 'Mystery']",['English'],Twin Peaks: Fire Walk with Me,7.3
"['Comedy', 'Drama']",['English'],White Men Can't Jump,6.2
"['Action', 'Comedy', 'Horror']",['English'],Buffy the Vampire Slayer,5.3
"['Action', 'Thriller', 'Crime']","['广州话 / 廣州話', 'English', '普通话']",Hard Boiled,7.4
"['Comedy', 'Crime', 'Drama', 'Horror']","['Français', 'Italiano']",Man Bites Dog,7.2
"['Action', 'Crime', 'Thriller']",['Español'],El Mariachi,6.6
"['Action', 'Comedy']",['English'],Stop! Or My Mom Will Shoot,4.6
"['Adventure', 'Fantasy', 'Drama', 'Science Fiction', 'Romance']",['English'],Forever Young,6.0
"['Comedy', 'Drama', 'Romance']","['English', 'Français', 'Deutsch']",The Cutting Edge,6.6
['Drama'],['English'],Of Mice and Men,7.1
"['Crime', 'Drama']","['English', 'Español']",Bad Lieutenant,6.9
"['Horror', 'Mystery']",['English'],Scream 3,5.7
['Thriller'],"['English', 'Español']",Single White Female,6.0
"['Action', 'Thriller', 'Crime']","['English', 'Español']",The Boondock Saints,7.2
"['Action', 'Comedy', 'Romance', 'Thriller']",['English'],Gun Shy,5.4
"['Drama', 'Foreign']",['Català'],Beloved/Friend,6.1
['Documentary'],['English'],Gendernauts: A Journey Through Shifting Identities,10.0
"['Drama', 'Action']",['English'],Knockout,0.0
"['Horror', 'Thriller']",['English'],The Baby,6.1
['Documentary'],['English'],The Brandon Teena Story,7.3
"['Comedy', 'Foreign']",['English'],Different for Girls,5.2
"['Drama', 'Romance', 'Comedy']",['English'],Minnie and Moskowitz,6.4
"['Comedy', 'Mystery', 'Thriller']","['English', 'Deutsch']",They Might Be Giants,7.3
"['Drama', 'Adventure', 'Romance', 'Thriller']","['English', 'Français', 'Hrvatski', 'svenska', 'ภาษาไทย']",The Beach,6.3
"['Comedy', 'Family']",['English'],Snow Day,4.8
"['Animation', 'Family']",['English'],The Tigger Movie,6.3
"['Drama', 'Foreign']",['English'],Cotton Mary,5.3
['Drama'],['普通话'],Not One Less,7.5
['Comedy'],['English'],Soft Toilet Seats,0.0
"['Drama', 'Thriller', 'Romance']",[],Trois,4.5
"['Drama', 'Action', 'Thriller', 'Crime', 'Mystery']",['English'],The Big Combo,7.2
"['Science Fiction', 'Drama', 'Fantasy']",[],Conceiving Ada,0.0
['Horror'],['English'],Eaten Alive,4.9
"['Comedy', 'Drama']",['English'],Raining Stones,5.7
['Drama'],['English'],"To Sir, with Love",7.6
['Documentary'],[],With Byrd at the South Pole,7.5
"['Crime', 'Drama', 'Thriller']","['English', 'Pусский']",Boiler Room,6.5
"['Comedy', 'Drama']",['Pусский'],Hanging Up,5.0
"['Thriller', 'Science Fiction', 'Action']",['English'],Pitch Black,6.7
"['Comedy', 'Crime']","['English', 'Français', 'Español']",The Whole Nine Yards,6.3
"['War', 'Comedy', 'Drama']",['English'],Beautiful People,6.0
['Documentary'],['English'],Black Tar Heroin: The Dark End of the Street,7.1
"['Drama', 'Crime']",['English'],Blue Collar,7.2
"['Mystery', 'Thriller']",['English'],Bluebeard,5.6
"['Comedy', 'Drama']",['English'],The Circus,8.0
"['Comedy', 'Drama', 'Romance']",['English'],City Lights,8.2
"['Comedy', 'Drama', 'Romance']",['English'],The Flamingo Kid,6.0
['Comedy'],['No Language'],A Dog's Life,7.1
"['Comedy', 'Drama']",['No Language'],The Kid,8.0
['Western'],['English'],The Man from Laramie,6.8
"['Romance', 'Drama']",['English'],The Wild McCullochs,0.0
['Comedy'],['English'],Class Reunion,3.4
"['Romance', 'Western']",['English'],The Big Trees,5.2
"['Music', 'Romance', 'Comedy']",['English'],Happy Go Lovely,5.0
['Thriller'],['English'],Reindeer Games,5.3
"['Comedy', 'Drama']",['English'],Wonder Boys,6.9
"['Action', 'Drama', 'Mystery', 'Thriller']",['English'],Deterrence,6.1
"['Comedy', 'Drama']",['English'],Judy Berlin,4.8
"['Romance', 'Comedy', 'Drama']",['Dansk'],Mifune,6.8
['Comedy'],[],The Waiting Game,0.0
"['Action', 'Comedy', 'Romance']",['English'],3 Strikes,5.9
"['Action', 'Comedy', 'Crime']",['English'],Chain of Fools,5.9
"['Comedy', 'Crime', 'Mystery']",['English'],Drowning Mona,5.4
['Comedy'],"['Français', 'English']",The Next Best Thing,4.3
"['Comedy', 'Drama', 'Romance', 'Science Fiction']",['English'],What Planet Are You From?,5.4
['Documentary'],['English'],Beyond the Mat,7.8
"['Crime', 'Drama']",['English'],Ghost Dog: The Way of the Samurai,7.2
"['Drama', 'Foreign', 'Romance']",['English'],The Year My Voice Broke,7.3
"['Drama', 'Romance']",['English'],Splendor in the Grass,7.1
"['Comedy', 'Drama', 'Romance']",['English'],My Tutor,5.8
"['Family', 'Adventure']",['English'],The Legend of Lobo,0.0
"['Comedy', 'Drama']",['English'],The Killing of Sister George,6.2
"['Crime', 'Drama', 'Thriller']",['English'],Key Largo,7.6
"['Action', 'Crime', 'Thriller']",['English'],Jail Bait,3.5
"['War', 'Drama']","['English', 'Deutsch']",It Happened Here,5.3
"['Comedy', 'Drama']",['English'],I'll Never Forget What's'isname,7.0
['Documentary'],['English'],For All Mankind,8.3
"['Drama', 'Action', 'History', 'War']","['Deutsch', 'English', 'Français', 'Pусский']",Cross of Iron,6.6
"['Horror', 'Science Fiction']",['English'],Bride of the Monster,4.2
"['Comedy', 'Romance', 'Drama']",['English'],Born Yesterday,6.6
"['Drama', 'History']",['English'],Birdy,6.9
"['Comedy', 'Drama', 'Romance']",['English'],And God Created Woman,3.8
['Horror'],['English'],Blood Feast,5.3
"['Adventure', 'Family']","['English', 'Deutsch']","Charlie, the Lonesome Cougar",4.9
['Horror'],['English'],Color Me Blood Red,5.0
"['Action', 'Adventure', 'Drama']","['English', '']",Never Cry Wolf,6.9
"['Crime', 'Horror']",['English'],The Night Visitor,7.3
['Comedy'],['English'],The Perils of Pauline,8.0
"['Romance', 'Drama']",['English'],A Raisin in the Sun,7.1
['Horror'],['English'],Two Thousand Maniacs!,6.2
"['Drama', 'Action', 'Thriller', 'Mystery']",['English'],Brown's Requiem,6.0
"['Comedy', 'Romance', 'Foreign']",['English'],The Closer You Get,4.5
['Science Fiction'],['English'],Mission to Mars,5.7
"['Horror', 'Mystery', 'Thriller']","['English', 'Français', 'Latin', 'Polski', 'Português', 'Español']",The Ninth Gate,6.3
['Documentary'],[],Condo Painting,0.0
['Drama'],"['Pусский', 'Français']",East/West,7.5
"['Fantasy', 'Drama', 'Comedy']","['English', '日本語']",Defending Your Life,6.5
"['Drama', 'Comedy']",['English'],Breaking Away,7.4
"['Drama', 'Family']",['English'],Hoosiers,7.1
"['Comedy', 'Romance']","['English', 'Italiano']",Bull Durham,6.6
"['Crime', 'Drama', 'Thriller']",['English'],Dog Day Afternoon,7.6
"['Comedy', 'Drama']",['English'],American Graffiti,6.9
"['Action', 'Crime', 'Drama', 'Thriller']",['English'],The Asphalt Jungle,7.5
['Western'],"['Español', 'English', '']",The Searchers,7.7
"['War', 'Action']",['English'],The Devil's Brigade,6.4
"['Drama', 'Western', 'Romance']","['English', 'Français', 'Español']",The Big Country,7.8
"['Romance', 'Crime', 'Drama']","['English', 'Français']",Any Number Can Win,6.9
"['Action', 'Drama', 'Romance', 'Thriller']",['English'],Betrayed,5.6
['Music'],['English'],Bound for Glory,7.0
"['Action', 'History', 'War']","['Deutsch', 'English']",The Bridge at Remagen,6.2
"['Action', 'Comedy', 'Western']",['English'],Buck and the Preacher,5.0
"['Drama', 'Romance']",['English'],Daughters of the Dust,6.8
['Science Fiction'],['English'],Destination Moon,6.1
[],['Français'],The Fantastic Night,5.7
"['Drama', 'History', 'Thriller', 'War']","['English', 'Deutsch']",Hangmen Also Die!,6.8
['Drama'],"['Deutsch', 'Français', 'English']",The Ogre,6.4
"['Science Fiction', 'Drama', 'Romance']",['English'],On the Beach,6.7
"['Drama', 'Thriller']",['English'],Railroaded!,6.6
"['Comedy', 'Music', 'Drama']",['English'],Slaves to the Underground,5.0
[],['English'],Song of Freedom,0.0
[],[],Big Fella,8.0
"['Action', 'Adventure', 'Crime', 'Thriller']",['English'],The Taking of Pelham One Two Three,7.6
['Comedy'],['English'],Volunteers,5.6
"['Drama', 'Thriller', 'History']","['English', 'Español']",JFK,7.5
"['Comedy', 'Crime', 'Mystery']",['English'],Who's Harry Crumb?,5.5
"['Comedy', 'Family', 'Fantasy']",['English'],Harry and the Hendersons,5.6
"['Action', 'Adventure']",['English'],Let's Get Harry,4.7
['Adventure'],['English'],Shanghai Surprise,2.9
['Comedy'],['English'],Who's That Girl,5.2
['Comedy'],['English'],She-Devil,5.4
"['Comedy', 'Fantasy', 'Romance', 'Science Fiction']","['Český', 'English']",Date With an Angel,5.6
"['Comedy', 'Romance']",['English'],Blind Date,5.6
"['Action', 'Comedy', 'Romance']",['English'],Nadine,5.5
"['Adventure', 'Comedy', 'Family']",['English'],The Muppet Movie,7.0
"['Crime', 'Family', 'Comedy']",['English'],The Great Muppet Caper,6.9
"['Romance', 'Comedy', 'Family']",['English'],The Muppets Take Manhattan,6.5
"['Adventure', 'Comedy', 'Family', 'Music']","['Português', 'English']",Sesame Street Presents Follow That Bird,6.5
"['Animation', 'Science Fiction', 'Family']",['English'],We're Back! A Dinosaur's Story,5.8
"['Adventure', 'Fantasy', 'Action', 'Science Fiction', 'Family']",['English'],Baby: Secret of the Lost Legend,5.3
"['Romance', 'Comedy', 'Drama']",['English'],Turtle Diary,8.3
"['Action', 'Drama', 'Thriller']",['English'],Raise the Titanic,5.2
"['Drama', 'Action', 'Romance']","['English', 'Français', 'Español', 'euskera']",Titanic,6.2
"['Drama', 'Action', 'History']","['Deutsch', 'English', 'Italiano', 'Polski', 'Pусский']",A Night to Remember,7.5
"['War', 'Action', 'Adventure', 'Drama']",['English'],Captain Horatio Hornblower R.N.,6.5
"['Drama', 'Romance', 'Foreign']",['Français'],The Carriers Are Waiting,7.3
['Drama'],"['English', 'Français']",Erin Brockovich,7.1
['Horror'],"['English', 'Français']",Final Destination,6.4
[],[],Soft Fruit,0.0
"['Drama', 'Music', 'TV Movie']",['English'],Babymother,3.0
"['Adventure', 'Drama', 'Family']",['English'],The Bear,6.9
"['Drama', 'Thriller', 'Mystery']",['English'],Impact,5.8
"['Drama', 'Romance']","['English', '普通话']",Love Is a Many-Splendored Thing,5.8
"['Drama', 'History']",['Pусский'],Mirror,7.8
"['Action', 'Adventure', 'Comedy']",['English'],The Crimson Pirate,6.9
